ORIGIN,DEST,TOTAL_DB1B_PASSENGERS,TOTAL_FARE_WEIGHT,DB1B_RECORDS,AVG_FARE
BDL,BHM,3.0,1125.0,1,375.0
BDL,BMI,1.0,228.5,1,228.5
BDL,BNA,1.0,303.5,1,303.5
BDL,BRO,3.0,1295.77,2,431.92333333333335
BDL,BZN,1.0,152.0,1,152.0
BDL,CAK,1.0,235.0,1,235.0
BDL,CGI,1.0,377.94,1,377.94
BDL,CID,3.0,1228.31,3,409.43666666666667
BDL,CLE,1.0,263.01,1,263.01
BDL,CLT,4.0,1032.74,4,258.185
BDL,CMH,4.0,802.5,4,200.625
BDL,CMI,6.0,1861.1100000000001,6,310.185
BDL,COU,2.0,460.0,2,230.0
BDL,CRP,1.0,582.6,1,582.6
BDL,CVG,10.0,2110.73,10,211.073
BDL,CWA,3.0,898.5,3,299.5
BDL,DAY,2.0,241.33,2,120.665
BDL,DCA,39.0,8512.0,36,218.25641025641025
BDL,DEN,5.0,1092.57,5,218.51399999999998
BDL,DSM,6.0,1090.51,6,181.75166666666667
BDL,DTW,1.0,278.76,1,278.76
BDL,FAY,1.0,459.0,1,459.0
BDL,FNT,1.0,538.0,1,538.0
BDL,FSD,1.0,298.5,1,298.5
BDL,GJT,1.0,5.37,1,5.37
BDL,GRR,4.0,941.56,4,235.39
BDL,GSO,3.0,782.0,3,260.6666666666667
BDL,HRL,3.0,1649.7,3,549.9
BDL,HSV,1.0,127.32,1,127.32
BDL,IAH,6.0,819.34,6,136.55666666666667
BDL,ICT,1.0,362.07,1,362.07
BDL,IND,1.0,233.03,1,233.03
BDL,JAX,2.0,404.93,2,202.465
BDL,LAS,10.0,2933.27,10,293.327
BDL,LAX,13.0,3769.56,12,289.9661538461538
BDL,LEX,4.0,892.79,4,223.1975
BDL,LIT,8.0,1994.18,8,249.2725
BDL,LSE,6.0,2376.5,6,396.0833333333333
BDL,MAF,1.0,531.72,1,531.72
BDL,MCI,2.0,778.62,2,389.31
BDL,MCO,1.0,504.0,1,504.0
BDL,MEM,2.0,755.09,2,377.545
BDL,MHK,5.0,3917.69,5,783.538
BDL,MIA,3.0,474.09000000000003,3,158.03
BDL,MKE,2.0,965.1100000000001,2,482.55500000000006
BDL,MLI,5.0,1828.5,5,365.7
BDL,MQT,1.0,312.0,1,312.0
BDL,MRY,1.0,367.06,1,367.06
BDL,MSN,5.0,2655.98,5,531.196
BDL,OKC,3.0,922.14,3,307.38
BDL,OMA,3.0,890.5,3,296.8333333333333
BDL,ORD,85.0,24054.96,75,282.9995294117647
BDL,ORF,1.0,331.1,1,331.1
BDL,PBI,3.0,509.68,3,169.89333333333335
BDL,PHX,13.0,4995.26,13,384.25076923076927
BDL,PIA,6.0,2204.59,6,367.4316666666667
BDL,PIT,2.0,445.0,2,222.5
BDL,PNS,4.0,700.36,4,175.09
BDL,PSP,1.0,405.0,1,405.0
BDL,RST,2.0,736.0,2,368.0
BDL,RSW,8.0,1514.3,8,189.2875
BDL,SAN,9.0,4217.82,8,468.64666666666665
BDL,SDF,1.0,244.33,1,244.33
BDL,SFO,5.0,1677.2,5,335.44
BDL,SGF,5.0,1841.53,5,368.306
BDL,SMF,2.0,367.29999999999995,2,183.64999999999998
BDL,SNA,21.0,5661.2,18,269.5809523809524
BDL,STL,8.0,1988.73,8,248.59125
BDL,TLH,1.0,564.0,1,564.0
BDL,TUL,1.0,301.24,1,301.24
BDL,TUS,7.0,1429.0,6,204.14285714285714
BDL,TYS,1.0,301.0,1,301.0
BDL,XNA,7.0,1964.08,7,280.5828571428571
BFD,LAS,1.0,364.37,1,364.37
BFL,ABI,3.0,865.5,3,288.5
