ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE,SPILLED_PAX_ERJ145,SPILLED_PAX_ERJ170,SPILLED_PAX_ERJ175,SPILL_COST_ERJ145,SPILL_COST_ERJ170,SPILL_COST_ERJ175
BNA,DCA,39.0,1783.0,45.71794871794872,176.13626016260162,0.0,0.0,0.0,0.0,0.0,0.0
BNA,MIA,32.0,2269.0,70.90625,248.93662420382168,20.90625,5.90625,0.0,5204.331299761147,1470.2819367038219,0.0
BNA,ORD,56.0,3384.0,60.42857142857143,204.2135905511811,10.42857142857143,0.0,0.0,2129.656015748032,0.0,0.0
BNA,PIT,1.0,56.0,56.0,303.948,6.0,0.0,0.0,1823.6879999999999,0.0,0.0
BNA,TPA,55.0,3249.0,59.07272727272727,176.7029393939394,9.07272727272727,0.0,0.0,1603.177577410468,0.0,0.0
BOI,MSO,1.0,64.0,64.0,,14.0,0.0,0.0,,,
BOS,CMH,21.0,852.0,40.57142857142857,205.96245810055865,0.0,0.0,0.0,0.0,0.0,0.0
BOS,CVG,12.0,408.0,34.0,250.5883916083916,0.0,0.0,0.0,0.0,0.0,0.0
BOS,MEM,7.0,234.0,33.42857142857143,284.77058823529416,0.0,0.0,0.0,0.0,0.0,0.0
BOS,ORD,40.0,2617.0,65.425,179.6255587808418,15.424999999999997,0.42499999999999716,0.0,2770.724244194484,76.34086248185726,0.0
BOS,SDF,7.0,320.0,45.71428571428572,307.3646428571428,0.0,0.0,0.0,0.0,0.0,0.0
BOS,STL,9.0,536.0,59.55555555555556,228.36380952380955,9.555555555555557,0.0,0.0,2182.1430687830693,0.0,0.0
BRO,DFW,40.0,2775.0,69.375,285.2636,19.375,4.375,0.0,5526.98225,1248.02825,0.0
BTR,DFW,76.0,4559.0,59.98684210526316,272.436677852349,9.986842105263158,0.0,0.0,2720.782085393854,0.0,0.0
BTR,JAN,1.0,71.0,71.0,,21.0,6.0,0.0,,,
