ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
COU,ORD,19.0,813.0,42.78947368421053,204.8116574585636
CRP,DFW,70.0,4160.0,59.42857142857143,266.07100591715977
CVG,AUS,31.0,1563.0,50.41935483870968,164.20884337349398
CVG,BOS,12.0,408.0,34.0,251.2508076923077
CVG,CMH,1.0,54.0,54.0,
CVG,DCA,15.0,710.0,47.333333333333336,157.62974683544303
CVG,MIA,62.0,3939.0,63.53225806451613,292.258036809816
CVG,ORD,68.0,3157.0,46.4264705882353,183.0998701298701
CWA,ORD,57.0,2586.0,45.36842105263158,252.7956
DAB,DFW,9.0,487.0,54.11111111111112,272.4835251798561
DAY,CLT,7.0,120.0,17.142857142857142,98.39
DAY,DFW,48.0,2624.0,54.66666666666666,301.38403846153847
DAY,ORD,65.0,2623.0,40.35384615384616,183.58612903225807
DCA,ATL,50.0,1963.0,39.26,193.28108974358972
DCA,BDL,15.0,786.0,52.4,220.28142857142856
DCA,BGR,1.0,50.0,50.0,362.0
DCA,BHM,19.0,869.0,45.73684210526316,253.259649122807
DCA,BNA,41.0,1570.0,38.29268292682927,165.75523121387283
DCA,CAE,1.0,58.0,58.0,192.5
DCA,CHS,15.0,639.0,42.6,217.2427232142857
DCA,CMH,31.0,1166.0,37.61290322580645,187.93042296072508
DCA,CVG,15.0,757.0,50.46666666666667,173.28241610738257
DCA,DSM,75.0,3383.0,45.10666666666667,246.8586713286713
DCA,GRR,8.0,445.0,55.625,257.5145
DCA,GSO,18.0,913.0,50.72222222222222,202.1515151515152
DCA,GSP,6.0,357.0,59.5,189.03666666666663
DCA,HSV,9.0,315.0,35.0,299.22554455445544
DCA,LIT,30.0,1428.0,47.6,277.3811400651465
DCA,MSP,1.0,34.0,34.0,
DCA,SDF,6.0,351.0,58.5,232.0354545454545
DCA,SYR,21.0,942.0,44.85714285714285,183.45677966101692
DCA,TLH,22.0,682.0,31.0,268.73551020408166
DCA,VPS,8.0,305.0,38.125,192.40263157894736
