ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
PHX,LBB,30.0,1422.0,47.4,265.9325
PHX,MAF,22.0,967.0,43.95454545454545,297.7290476190476
PHX,MRY,51.0,2748.0,53.88235294117647,282.7041176470588
PHX,SAF,20.0,1058.0,52.9,172.14615384615385
PHX,SBA,7.0,463.0,66.14285714285714,386.208
PHX,SBP,49.0,2589.0,52.83673469387755,229.11589211618255
PHX,STS,21.0,1279.0,60.90476190476191,251.18853211009173
PHX,TUL,22.0,1410.0,64.0909090909091,271.54157099697886
PHX,TUS,43.0,2762.0,64.23255813953489,82.5
PIA,DFW,21.0,1327.0,63.19047619047619,276.53325757575755
PIA,ORD,49.0,1678.0,34.244897959183675,106.26470588235294
PIT,DCA,1.0,56.0,56.0,68.0
PIT,ORD,13.0,780.0,60.0,212.68261904761903
PNS,DFW,20.0,1214.0,60.7,255.2375
PNS,MIA,80.0,4179.0,52.2375,257.55765027322406
PSP,AUS,30.0,1542.0,51.4,350.5618045112782
PVD,MIA,3.0,154.0,51.333333333333336,159.12166666666667
PVD,ORD,35.0,1416.0,40.457142857142856,214.38690677966105
RAP,DFW,61.0,3979.0,65.22950819672131,298.592118226601
RDU,AUS,55.0,2934.0,53.345454545454544,210.9162565445026
RDU,DFW,1.0,58.0,58.0,256.5677777777778
RDU,MIA,31.0,2074.0,66.90322580645162,225.73723958333332
RDU,ORD,45.0,2253.0,50.06666666666667,234.99720538720536
RDU,TPA,9.0,276.0,30.666666666666668,191.1433333333333
RIC,ORD,21.0,701.0,33.38095238095238,213.04358778625956
RNO,AUS,39.0,1632.0,41.84615384615385,330.1255555555556
ROC,MIA,4.0,253.0,63.25,301.495
ROC,ORD,41.0,2341.0,57.09756097560975,202.73660194174755
RST,ORD,66.0,2935.0,44.46969696969697,256.31361344537817
SAF,PHX,21.0,719.0,34.23809523809524,173.3111290322581
SAV,CHS,1.0,66.0,66.0,
SAV,CLT,10.0,537.0,53.7,121.8825
SAV,MIA,45.0,2597.0,57.71111111111111,256.92194570135746
SBA,PHX,7.0,214.0,30.571428571428573,214.66666666666663
SBP,PHX,49.0,2311.0,47.16326530612245,225.4284221311476
SDF,BOS,7.0,276.0,39.42857142857143,301.7676923076923
SDF,DCA,6.0,382.0,63.66666666666666,208.28285714285715
SDF,DFW,34.0,2158.0,63.47058823529412,242.36081967213116
SDF,ORD,45.0,2071.0,46.02222222222223,191.68742647058824
SGF,CHA,1.0,54.0,54.0,348.07666666666665
SGF,CLT,66.0,3485.0,52.80303030303031,265.9606989247312
SGF,DFW,183.0,10731.0,58.63934426229508,237.0159318181818
SGF,ORD,78.0,2499.0,32.03846153846154,202.75370967741932
SHV,DFW,60.0,3543.0,59.05,220.8788679245283
SJT,DFW,37.0,1311.0,35.432432432432435,232.79754098360652
SLC,ORD,1.0,76.0,76.0,269.915
SPI,ORD,1.0,38.0,38.0,
SRQ,ORD,1.0,70.0,70.0,452.48
STL,AUS,26.0,1024.0,39.38461538461539,161.13645614035087
STL,BOS,9.0,495.0,55.0,288.11243902439026
STL,DFW,8.0,437.0,54.625,222.70478260869567
STL,ORD,64.0,3782.0,59.09375,200.7119058823529
STL,SDF,1.0,25.0,25.0,
STS,DFW,9.0,425.0,47.22222222222222,317.52007092198585
STS,PHX,21.0,1062.0,50.57142857142857,245.95491666666663
SYR,DCA,21.0,1375.0,65.47619047619048,178.29999999999998
SYR,MIA,1.0,73.0,73.0,296.9250980392157
SYR,ORD,25.0,1571.0,62.84,193.28
TLH,DCA,21.0,658.0,31.33333333333333,259.01590909090913
TLH,DFW,51.0,2975.0,58.333333333333336,303.12798206278023
TLH,GNV,1.0,72.0,72.0,
TLH,MIA,91.0,3903.0,42.89010989010989,301.3791687657431
TPA,BNA,55.0,3491.0,63.47272727272728,172.38046487603307
TPA,MIA,22.0,1105.0,50.22727272727273,237.72451923076923
TPA,RDU,8.0,364.0,45.5,207.06500000000003
TRI,DFW,11.0,553.0,50.27272727272727,279.2809411764706
TUL,AUS,25.0,829.0,33.16,168.6549763033175
TUL,DFW,4.0,278.0,69.5,252.43185185185183
TUL,ORD,24.0,1469.0,61.208333333333336,208.98035714285717
TUL,PHX,23.0,1394.0,60.60869565217392,268.11669642857146
TUS,PHX,43.0,2424.0,56.372093023255815,177.75
TVC,ORD,64.0,2728.0,42.625,156.5542105263158
TYS,CLT,1.0,73.0,73.0,
TYS,MIA,32.0,2145.0,67.03125,256.0296666666667
TYS,ORD,49.0,2211.0,45.12244897959184,216.71641025641023
VPS,DCA,8.0,465.0,58.125,243.1552380952381
VPS,DFW,5.0,188.0,37.6,252.1607305936073
XNA,CLT,59.0,3484.0,59.05084745762712,312.5212556053812
XNA,DCA,29.0,993.0,34.241379310344826,286.6999183673469
XNA,DFW,132.0,8365.0,63.371212121212125,260.6325
XNA,MIA,29.0,1676.0,57.793103448275865,304.4127947598253
XNA,ORD,67.0,3039.0,45.35820895522388,241.36716981132076
