YEAR,MONTH,UNIQUE_CARRIER,AIRLINE_ID,ORIGIN,DEST,AIRCRAFT_TYPE,DEPARTURES_PERFORMED,PASSENGERS,SEATS,RAMP_TO_RAMP,AIRCRAFT_NAME
2023,1,MQ,20398,DFW,COS,673,15.0,1012.0,1140.0,1875.0,ERJ175
2023,1,MQ,20398,ELP,DFW,673,15.0,1064.0,1140.0,1426.0,ERJ175
2023,1,MQ,20398,BDL,DCA,673,14.0,830.0,1064.0,1220.0,ERJ175
2023,1,MQ,20398,ORD,MSN,677,15.0,648.0,975.0,979.0,ERJ170
2023,1,MQ,20398,GSP,ORD,677,15.0,739.0,975.0,1813.0,ERJ170
2023,1,MQ,20398,DCA,BDL,673,15.0,786.0,1140.0,1358.0,ERJ175
2023,1,MQ,20398,DFW,CMI,673,15.0,938.0,1140.0,1711.0,ERJ175
2023,1,MQ,20398,ALB,ORD,677,16.0,937.0,1040.0,2354.0,ERJ170
2023,1,MQ,20398,ORD,DSM,673,16.0,795.0,1216.0,1348.0,ERJ175
2023,1,MQ,20398,ORD,BUF,673,16.0,808.0,1216.0,1491.0,ERJ175
2023,1,MQ,20398,ORD,LIT,673,17.0,668.0,1291.0,2019.0,ERJ175
2023,1,MQ,20398,ORD,GRB,673,17.0,820.0,1292.0,1217.0,ERJ175
2023,1,MQ,20398,DSM,ORD,673,17.0,1047.0,1292.0,1785.0,ERJ175
2023,1,MQ,20398,BUF,ORD,673,17.0,1097.0,1292.0,1943.0,ERJ175
2023,1,MQ,20398,CMI,DFW,673,16.0,861.0,1216.0,2220.0,ERJ175
2023,1,MQ,20398,ORD,RDU,677,17.0,698.0,1104.0,2062.0,ERJ170
2023,1,MQ,20398,RDU,ORD,677,17.0,660.0,1105.0,2360.0,ERJ170
2023,1,MQ,20398,MEM,AUS,673,17.0,295.0,1292.0,2150.0,ERJ175
2023,1,MQ,20398,XNA,ORD,673,17.0,686.0,1292.0,1889.0,ERJ175
2023,1,MQ,20398,ORD,LSE,675,18.0,603.0,900.0,1307.0,ERJ145
2023,1,MQ,20398,ORD,COU,675,18.0,659.0,900.0,1511.0,ERJ145
2023,1,MQ,20398,ORF,ORD,677,18.0,893.0,1170.0,2667.0,ERJ170
2023,1,MQ,20398,LIT,ORD,673,18.0,640.0,1368.0,1989.0,ERJ175
2023,1,MQ,20398,DFW,MLI,673,18.0,1035.0,1368.0,2055.0,ERJ175
2023,1,MQ,20398,ORD,TUL,673,18.0,1065.0,1368.0,2257.0,ERJ175
2023,1,MQ,20398,MLI,DFW,673,18.0,1096.0,1368.0,2706.0,ERJ175
2023,1,MQ,20398,TUL,ORD,673,18.0,1135.0,1368.0,1985.0,ERJ175
2023,1,MQ,20398,GRB,ORD,673,18.0,1150.0,1368.0,1488.0,ERJ175
2023,1,MQ,20398,AUS,MEM,673,17.0,536.0,1292.0,1601.0,ERJ175
2023,1,MQ,20398,ORD,XNA,673,17.0,763.0,1292.0,1982.0,ERJ175
2023,1,MQ,20398,GSO,DCA,673,18.0,614.0,1368.0,1272.0,ERJ175
2023,1,MQ,20398,DCA,GSO,673,18.0,913.0,1368.0,1489.0,ERJ175
2023,1,MQ,20398,COU,ORD,675,19.0,813.0,950.0,1531.0,ERJ145
2023,1,MQ,20398,MCI,ORD,675,19.0,819.0,950.0,1792.0,ERJ145
2023,1,MQ,20398,LSE,ORD,675,19.0,856.0,950.0,1524.0,ERJ145
2023,1,MQ,20398,RIC,ORD,677,19.0,628.0,1235.0,2405.0,ERJ170
2023,1,MQ,20398,ORD,RIC,677,19.0,839.0,1235.0,2347.0,ERJ170
2023,1,MQ,20398,ORD,ORF,677,19.0,850.0,1235.0,2472.0,ERJ170
2023,1,MQ,20398,BHM,DCA,673,19.0,742.0,1444.0,2189.0,ERJ175
2023,1,MQ,20398,DCA,BHM,673,19.0,869.0,1444.0,2537.0,ERJ175
2023,1,MQ,20398,MSY,ORD,673,19.0,1051.0,1444.0,2872.0,ERJ175
2023,1,MQ,20398,ORD,MSY,673,19.0,1074.0,1444.0,2811.0,ERJ175
2023,1,MQ,20398,BHM,CLT,673,19.0,1156.0,1444.0,1722.0,ERJ175
2023,1,MQ,20398,CLT,BHM,673,19.0,1160.0,1444.0,1746.0,ERJ175
2023,1,MQ,20398,ORD,MCI,673,19.0,1173.0,1444.0,1869.0,ERJ175
2023,1,MQ,20398,MCI,ORD,673,19.0,1295.0,1444.0,1789.0,ERJ175
2023,1,MQ,20398,ORD,MCI,675,20.0,789.0,1000.0,1982.0,ERJ145
2023,1,MQ,20398,ORD,CMH,677,20.0,714.0,1300.0,1756.0,ERJ170
2023,1,MQ,20398,PHX,SAF,673,20.0,1058.0,1520.0,1526.0,ERJ175
2023,1,MQ,20398,HPN,ORD,677,19.0,513.0,1235.0,3045.0,ERJ170
2023,1,MQ,20398,ORD,HPN,677,19.0,740.0,1235.0,2500.0,ERJ170
2023,1,MQ,20398,DFW,BHM,673,20.0,1010.0,1520.0,2122.0,ERJ175
2023,1,MQ,20398,PNS,DFW,673,20.0,1214.0,1520.0,2591.0,ERJ175
2023,1,MQ,20398,DFW,PNS,673,20.0,1452.0,1520.0,2048.0,ERJ175
2023,1,MQ,20398,ORD,OMA,675,21.0,827.0,1050.0,2145.0,ERJ145
2023,1,MQ,20398,OMA,ORD,675,21.0,977.0,1050.0,2172.0,ERJ145
2023,1,MQ,20398,CMH,ORD,677,21.0,1133.0,1365.0,1781.0,ERJ170
2023,1,MQ,20398,TLH,DCA,673,21.0,658.0,1596.0,2554.0,ERJ175
2023,1,MQ,20398,SAF,PHX,673,21.0,719.0,1596.0,1988.0,ERJ175
2023,1,MQ,20398,AGS,CLT,673,21.0,822.0,1596.0,1504.0,ERJ175
2023,1,MQ,20398,CLT,AGS,673,21.0,1042.0,1596.0,1696.0,ERJ175
2023,1,MQ,20398,MAF,PHX,673,21.0,1044.0,1596.0,2769.0,ERJ175
2023,1,MQ,20398,DFW,MSO,673,21.0,1084.0,1596.0,4610.0,ERJ175
2023,1,MQ,20398,HPN,MIA,673,21.0,1148.0,1596.0,3794.0,ERJ175
2023,1,MQ,20398,PIA,DFW,673,21.0,1327.0,1596.0,3295.0,ERJ175
2023,1,MQ,20398,CLT,GSP,673,20.0,1171.0,1520.0,1156.0,ERJ175
2023,1,MQ,20398,GSP,CLT,673,20.0,1290.0,1520.0,1155.0,ERJ175
2023,1,MQ,20398,CMH,BOS,673,21.0,769.0,1596.0,2440.0,ERJ175
2023,1,MQ,20398,BOS,CMH,673,21.0,852.0,1596.0,2873.0,ERJ175
2023,1,MQ,20398,DCA,SYR,673,21.0,942.0,1596.0,1586.0,ERJ175
2023,1,MQ,20398,STS,PHX,673,21.0,1062.0,1596.0,2568.0,ERJ175
2023,1,MQ,20398,DFW,BIL,673,21.0,1263.0,1596.0,3673.0,ERJ175
2023,1,MQ,20398,PHX,STS,673,21.0,1279.0,1596.0,2809.0,ERJ175
2023,1,MQ,20398,BIL,DFW,673,21.0,1296.0,1596.0,3380.0,ERJ175
2023,1,MQ,20398,SYR,DCA,673,21.0,1375.0,1596.0,2011.0,ERJ175
2023,1,MQ,20398,BHM,DFW,673,21.0,1381.0,1596.0,2698.0,ERJ175
2023,1,MQ,20398,DCA,TLH,673,22.0,682.0,1672.0,3044.0,ERJ175
2023,1,MQ,20398,PHX,MAF,673,22.0,967.0,1672.0,2200.0,ERJ175
2023,1,MQ,20398,MIA,HPN,673,22.0,1091.0,1672.0,4196.0,ERJ175
2023,1,MQ,20398,TPA,MIA,673,22.0,1105.0,1672.0,1266.0,ERJ175
2023,1,MQ,20398,ORD,BZN,673,22.0,1174.0,1672.0,4674.0,ERJ175
2023,1,MQ,20398,FAR,PHX,673,22.0,1230.0,1672.0,4379.0,ERJ175
2023,1,MQ,20398,PHX,FAR,673,22.0,1243.0,1672.0,4141.0,ERJ175
2023,1,MQ,20398,DFW,PIA,673,22.0,1246.0,1672.0,2510.0,ERJ175
2023,1,MQ,20398,MSO,DFW,673,22.0,1360.0,1672.0,4306.0,ERJ175
2023,1,MQ,20398,MIA,TPA,673,22.0,1365.0,1672.0,1314.0,ERJ175
2023,1,MQ,20398,PHX,TUL,673,22.0,1410.0,1672.0,2927.0,ERJ175
2023,1,MQ,20398,BZN,ORD,673,22.0,1529.0,1672.0,4014.0,ERJ175
2023,1,MQ,20398,TUL,PHX,673,23.0,1394.0,1748.0,3918.0,ERJ175
2023,1,MQ,20398,LEX,ORD,673,23.0,796.0,1748.0,2297.0,ERJ175
2023,1,MQ,20398,ORD,MKE,675,23.0,949.0,1150.0,1221.0,ERJ145
2023,1,MQ,20398,MKE,ORD,675,23.0,971.0,1150.0,1437.0,ERJ145
2023,1,MQ,20398,ORD,LEX,673,24.0,967.0,1824.0,2133.0,ERJ175
2023,1,MQ,20398,CVG,ORD,673,25.0,1326.0,1900.0,2240.0,ERJ175
2023,1,MQ,20398,MSY,MIA,673,25.0,1778.0,1900.0,2745.0,ERJ175
2023,1,MQ,20398,MIA,MSY,673,25.0,1862.0,1900.0,3335.0,ERJ175
2023,1,MQ,20398,AUS,MCI,673,25.0,1066.0,1900.0,2681.0,ERJ175
2023,1,MQ,20398,MCI,AUS,673,25.0,1276.0,1900.0,2931.0,ERJ175
2023,1,MQ,20398,ORD,MCI,677,26.0,1430.0,1690.0,2564.0,ERJ170
2023,1,MQ,20398,MCI,ORD,677,26.0,1486.0,1690.0,2384.0,ERJ170
2023,1,MQ,20398,ORD,CVG,673,26.0,1450.0,1975.0,2060.0,ERJ175
2023,1,MQ,20398,BDL,ORD,673,26.0,1446.0,1976.0,4223.0,ERJ175
2023,1,MQ,20398,ORD,BDL,673,26.0,1582.0,1976.0,3362.0,ERJ175
2023,1,MQ,20398,TUL,AUS,673,25.0,829.0,1900.0,2286.0,ERJ175
2023,1,MQ,20398,STL,AUS,673,26.0,1024.0,1976.0,3667.0,ERJ175
2023,1,MQ,20398,AUS,STL,673,26.0,1276.0,1976.0,3033.0,ERJ175
2023,1,MQ,20398,AUS,TUL,673,25.0,676.0,1900.0,2068.0,ERJ175
2023,1,MQ,20398,PVD,ORD,673,27.0,992.0,2052.0,4548.0,ERJ175
2023,1,MQ,20398,ABQ,AUS,673,27.0,1074.0,2052.0,2667.0,ERJ175
2023,1,MQ,20398,AUS,ABQ,673,27.0,1214.0,2052.0,3118.0,ERJ175
2023,1,MQ,20398,DFW,GRR,673,28.0,1730.0,2128.0,4222.0,ERJ175
2023,1,MQ,20398,DSM,ORD,677,28.0,1547.0,1820.0,2715.0,ERJ170
2023,1,MQ,20398,ORD,PVD,673,28.0,1124.0,2128.0,4071.0,ERJ175
2023,1,MQ,20398,RDU,ORD,673,28.0,1593.0,2128.0,3837.0,ERJ175
2023,1,MQ,20398,ORD,SDF,675,29.0,916.0,1450.0,2560.0,ERJ145
2023,1,MQ,20398,ORD,BHM,675,29.0,975.0,1450.0,3311.0,ERJ145
2023,1,MQ,20398,BHM,ORD,675,29.0,1041.0,1450.0,3579.0,ERJ145
2023,1,MQ,20398,ORD,RDU,673,29.0,1323.0,2204.0,3735.0,ERJ175
2023,1,MQ,20398,ATL,MIA,673,29.0,1795.0,2204.0,3198.0,ERJ175
2023,1,MQ,20398,GRR,DFW,673,29.0,1918.0,2204.0,4999.0,ERJ175
2023,1,MQ,20398,MIA,ATL,673,29.0,1947.0,2204.0,3441.0,ERJ175
2023,1,MQ,20398,MIA,IND,673,29.0,2104.0,2204.0,5018.0,ERJ175
2023,1,MQ,20398,HOU,DFW,673,28.0,1614.0,2128.0,2045.0,ERJ175
2023,1,MQ,20398,DFW,HOU,673,28.0,1655.0,2128.0,2112.0,ERJ175
2023,1,MQ,20398,SDF,ORD,675,29.0,1144.0,1450.0,2644.0,ERJ145
2023,1,MQ,20398,GNV,MIA,673,29.0,910.0,2204.0,2039.0,ERJ175
2023,1,MQ,20398,DFW,GNV,673,29.0,1741.0,2204.0,4009.0,ERJ175
2023,1,MQ,20398,ORD,DSM,677,30.0,1457.0,1950.0,2643.0,ERJ170
2023,1,MQ,20398,LIT,DCA,673,30.0,1135.0,2280.0,4063.0,ERJ175
2023,1,MQ,20398,DCA,CMH,673,30.0,1137.0,2280.0,2447.0,ERJ175
2023,1,MQ,20398,PHX,GJT,673,30.0,1157.0,2280.0,2705.0,ERJ175
2023,1,MQ,20398,BFL,PHX,673,30.0,1270.0,2280.0,2769.0,ERJ175
2023,1,MQ,20398,DCA,LIT,673,30.0,1428.0,2280.0,5138.0,ERJ175
2023,1,MQ,20398,IND,MIA,673,30.0,1795.0,2280.0,4946.0,ERJ175
2023,1,MQ,20398,ATW,CLT,673,30.0,2000.0,2280.0,4512.0,ERJ175
2023,1,MQ,20398,AVL,DFW,673,29.0,1871.0,2203.0,4827.0,ERJ175
2023,1,MQ,20398,XNA,DCA,673,29.0,993.0,2204.0,4237.0,ERJ175
2023,1,MQ,20398,DCA,XNA,673,29.0,1120.0,2204.0,5370.0,ERJ175
2023,1,MQ,20398,MIA,XNA,673,29.0,1527.0,2204.0,5675.0,ERJ175
2023,1,MQ,20398,AUS,IND,673,29.0,1547.0,2204.0,4015.0,ERJ175
2023,1,MQ,20398,IND,AUS,673,29.0,1671.0,2204.0,4993.0,ERJ175
2023,1,MQ,20398,XNA,MIA,673,29.0,1676.0,2204.0,4664.0,ERJ175
2023,1,MQ,20398,DFW,AVL,673,30.0,1921.0,2279.0,3983.0,ERJ175
2023,1,MQ,20398,AGS,DFW,673,30.0,1271.0,2280.0,5280.0,ERJ175
2023,1,MQ,20398,PHX,LBB,673,30.0,1422.0,2280.0,3061.0,ERJ175
2023,1,MQ,20398,MIA,GNV,673,30.0,1510.0,2280.0,2063.0,ERJ175
2023,1,MQ,20398,PSP,AUS,673,30.0,1542.0,2280.0,4673.0,ERJ175
2023,1,MQ,20398,FAY,DFW,673,30.0,1545.0,2280.0,6036.0,ERJ175
2023,1,MQ,20398,DFW,AGS,673,30.0,1747.0,2280.0,3912.0,ERJ175
2023,1,MQ,20398,GNV,DFW,673,30.0,1778.0,2280.0,5090.0,ERJ175
2023,1,MQ,20398,DFW,FAY,673,30.0,1881.0,2280.0,4357.0,ERJ175
2023,1,MQ,20398,GSP,MIA,673,31.0,1968.0,2355.0,3436.0,ERJ175
2023,1,MQ,20398,CMH,DCA,673,31.0,1088.0,2356.0,2492.0,ERJ175
2023,1,MQ,20398,AUS,PSP,673,31.0,1235.0,2356.0,5898.0,ERJ175
2023,1,MQ,20398,CVG,AUS,673,31.0,1563.0,2356.0,5587.0,ERJ175
2023,1,MQ,20398,GJT,PHX,673,31.0,1591.0,2356.0,3049.0,ERJ175
2023,1,MQ,20398,LBB,PHX,673,31.0,1678.0,2356.0,4154.0,ERJ175
2023,1,MQ,20398,PHX,BFL,673,31.0,1695.0,2356.0,2990.0,ERJ175
2023,1,MQ,20398,AUS,CVG,673,31.0,1718.0,2356.0,4492.0,ERJ175
2023,1,MQ,20398,CLT,ATW,673,31.0,1724.0,2356.0,4332.0,ERJ175
2023,1,MQ,20398,BHM,MIA,673,31.0,1798.0,2356.0,3588.0,ERJ175
2023,1,MQ,20398,IAH,ORD,673,31.0,1846.0,2356.0,4722.0,ERJ175
2023,1,MQ,20398,MIA,GSP,673,31.0,1874.0,2356.0,3689.0,ERJ175
2023,1,MQ,20398,MIA,BHM,673,31.0,1882.0,2356.0,3823.0,ERJ175
2023,1,MQ,20398,MIA,GSO,673,31.0,1926.0,2356.0,4097.0,ERJ175
2023,1,MQ,20398,GSO,MIA,673,31.0,2075.0,2356.0,4029.0,ERJ175
2023,1,MQ,20398,MIA,TYS,673,31.0,1969.0,2355.0,4073.0,ERJ175
2023,1,MQ,20398,RDU,MIA,673,31.0,2074.0,2356.0,3873.0,ERJ175
2023,1,MQ,20398,MEM,ORD,675,32.0,1081.0,1600.0,3716.0,ERJ145
2023,1,MQ,20398,ORD,MEM,675,32.0,1145.0,1600.0,3672.0,ERJ145
2023,1,MQ,20398,MIA,RDU,673,32.0,2285.0,2431.0,4049.0,ERJ175
2023,1,MQ,20398,ORD,IAH,673,32.0,1892.0,2432.0,5588.0,ERJ175
2023,1,MQ,20398,TYS,MIA,673,32.0,2145.0,2432.0,4169.0,ERJ175
2023,1,MQ,20398,BNA,MIA,673,32.0,2269.0,2432.0,4081.0,ERJ175
2023,1,MQ,20398,DFW,BIS,673,33.0,1951.0,2508.0,5185.0,ERJ175
2023,1,MQ,20398,MIA,BNA,673,33.0,2378.0,2508.0,5046.0,ERJ175
2023,1,MQ,20398,LEX,ORD,677,33.0,1051.0,2145.0,3001.0,ERJ170
2023,1,MQ,20398,ORD,MSN,673,34.0,1755.0,2583.0,2045.0,ERJ175
2023,1,MQ,20398,BIS,DFW,673,34.0,2006.0,2584.0,5483.0,ERJ175
2023,1,MQ,20398,MSN,ORD,673,34.0,2173.0,2584.0,2427.0,ERJ175
2023,1,MQ,20398,ORD,LEX,677,34.0,1098.0,2210.0,2991.0,ERJ170
2023,1,MQ,20398,GRB,ORD,675,35.0,1543.0,1750.0,2977.0,ERJ145
2023,1,MQ,20398,BWI,ORD,677,35.0,1464.0,2275.0,4521.0,ERJ170
2023,1,MQ,20398,DFW,SDF,673,33.0,2080.0,2508.0,4194.0,ERJ175
2023,1,MQ,20398,ORD,GRR,675,35.0,1409.0,1750.0,2091.0,ERJ145
2023,1,MQ,20398,GRR,ORD,675,35.0,1511.0,1750.0,2319.0,ERJ145
2023,1,MQ,20398,ORD,GRB,675,36.0,1475.0,1800.0,2394.0,ERJ145
2023,1,MQ,20398,ORD,BWI,677,36.0,1642.0,2340.0,4331.0,ERJ170
2023,1,MQ,20398,SDF,DFW,673,34.0,2158.0,2584.0,5060.0,ERJ175
2023,1,MQ,20398,ORD,ATW,677,37.0,1720.0,2405.0,2590.0,ERJ170
2023,1,MQ,20398,ATW,ORD,677,37.0,1919.0,2405.0,2925.0,ERJ170
2023,1,MQ,20398,ORD,ATL,673,37.0,2227.0,2812.0,4706.0,ERJ175
2023,1,MQ,20398,ATL,ORD,673,37.0,2357.0,2812.0,4786.0,ERJ175
2023,1,MQ,20398,ORD,MQT,675,33.0,926.0,1650.0,2564.0,ERJ145
2023,1,MQ,20398,DFW,SJT,673,36.0,1799.0,2736.0,2409.0,ERJ175
2023,1,MQ,20398,ORD,MSN,675,37.0,1387.0,1850.0,2248.0,ERJ145
2023,1,MQ,20398,MSN,ORD,675,37.0,1618.0,1850.0,2208.0,ERJ145
2023,1,MQ,20398,MQT,ORD,675,34.0,1394.0,1700.0,3101.0,ERJ145
2023,1,MQ,20398,SJT,DFW,673,37.0,1311.0,2812.0,2268.0,ERJ175
2023,1,MQ,20398,DFW,AUS,673,37.0,1950.0,2812.0,2406.0,ERJ175
2023,1,MQ,20398,DFW,ECP,673,37.0,2307.0,2812.0,4079.0,ERJ175
2023,1,MQ,20398,ORD,CVG,675,38.0,1507.0,1900.0,3154.0,ERJ145
2023,1,MQ,20398,CVG,ORD,675,38.0,1600.0,1900.0,3297.0,ERJ145
2023,1,MQ,20398,EVV,DFW,673,38.0,1401.0,2888.0,5270.0,ERJ175
2023,1,MQ,20398,DFW,EVV,673,38.0,1622.0,2888.0,4163.0,ERJ175
2023,1,MQ,20398,ICT,DFW,673,38.0,2247.0,2888.0,3198.0,ERJ175
2023,1,MQ,20398,BNA,DCA,673,39.0,1783.0,2964.0,3836.0,ERJ175
2023,1,MQ,20398,ORD,BOS,673,39.0,2289.0,2964.0,5556.0,ERJ175
2023,1,MQ,20398,ORD,ALO,675,37.0,500.0,1850.0,2831.0,ERJ145
2023,1,MQ,20398,ALO,ORD,675,37.0,717.0,1850.0,2620.0,ERJ145
2023,1,MQ,20398,OKC,AUS,673,37.0,932.0,2811.0,3215.0,ERJ175
2023,1,MQ,20398,AUS,DFW,673,38.0,1445.0,2887.0,2256.0,ERJ175
2023,1,MQ,20398,ECP,DFW,673,38.0,2344.0,2888.0,5520.0,ERJ175
2023,1,MQ,20398,ORD,TYS,675,39.0,1447.0,1950.0,4064.0,ERJ145
2023,1,MQ,20398,HPN,ORD,673,39.0,1493.0,2964.0,6191.0,ERJ175
2023,1,MQ,20398,AUS,RNO,673,39.0,1494.0,2964.0,8757.0,ERJ175
2023,1,MQ,20398,RNO,AUS,673,39.0,1632.0,2964.0,7411.0,ERJ175
2023,1,MQ,20398,ORD,ROC,673,40.0,2119.0,3040.0,4235.0,ERJ175
2023,1,MQ,20398,ROC,ORD,673,40.0,2280.0,3040.0,4990.0,ERJ175
2023,1,MQ,20398,DFW,ICT,673,40.0,2344.0,3040.0,3320.0,ERJ175
2023,1,MQ,20398,BOS,ORD,673,40.0,2617.0,3040.0,7288.0,ERJ175
2023,1,MQ,20398,AUS,OKC,673,38.0,1502.0,2887.0,2889.0,ERJ175
2023,1,MQ,20398,LIT,ORD,677,39.0,1528.0,2535.0,4304.0,ERJ170
