ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT
DCA,XNA,29.0,1120.0,38.62068965517241
DFW,ABI,105.0,4768.0,45.40952380952381
DFW,AGS,30.0,1747.0,58.233333333333334
DFW,AUS,38.0,1995.0,52.5
DFW,AVL,30.0,1921.0,64.03333333333333
DFW,BHM,20.0,1010.0,50.5
DFW,BIL,21.0,1263.0,60.142857142857146
DFW,BIS,33.0,1951.0,59.121212121212125
DFW,BOI,1.0,64.0,64.0
DFW,BRO,40.0,1743.0,43.575
DFW,BTR,77.0,4702.0,61.064935064935064
DFW,CHA,75.0,4541.0,60.54666666666667
DFW,CID,8.0,446.0,55.75
DFW,CMI,56.0,2873.0,51.30357142857143
DFW,COS,15.0,1012.0,67.46666666666667
DFW,COU,65.0,4200.0,64.61538461538461
DFW,CRP,69.0,3945.0,57.17391304347826
DFW,DAB,9.0,472.0,52.44444444444444
DFW,DAY,47.0,3007.0,63.97872340425532
DFW,DRO,53.0,2659.0,50.16981132075472
DFW,DSM,1.0,44.0,44.0
DFW,ECP,37.0,2307.0,62.351351351351354
DFW,ELP,15.0,938.0,62.53333333333333
DFW,EVV,38.0,1622.0,42.68421052631579
DFW,FAR,42.0,2668.0,63.523809523809526
DFW,FAT,1.0,55.0,55.0
DFW,FAY,30.0,1881.0,62.7
DFW,FSD,44.0,2790.0,63.40909090909091
DFW,FSM,39.0,2327.0,59.666666666666664
DFW,GJT,69.0,3292.0,47.710144927536234
DFW,GNV,29.0,1741.0,60.03448275862069
DFW,GPT,40.0,2305.0,57.625
DFW,GRK,41.0,1213.0,29.585365853658537
DFW,GRR,28.0,1730.0,61.785714285714285
DFW,HOU,28.0,1655.0,59.107142857142854
DFW,HRL,75.0,3668.0,48.906666666666666
DFW,HSV,43.0,1972.0,45.86046511627907
DFW,ICT,40.0,2344.0,58.6
DFW,IND,6.0,332.0,55.333333333333336
DFW,JAN,69.0,4215.0,61.08695652173913
DFW,LBB,65.0,4134.0,63.6
DFW,LCH,9.0,221.0,24.555555555555557
DFW,LEX,76.0,4129.0,54.328947368421055
DFW,LFT,85.0,3617.0,42.55294117647059
DFW,LIT,103.0,6935.0,67.33009708737865
DFW,LRD,1.0,76.0,76.0
DFW,MAF,89.0,5003.0,56.21348314606742
DFW,MGM,58.0,3421.0,58.98275862068966
DFW,MHK,63.0,3726.0,59.142857142857146
DFW,MLI,18.0,1035.0,57.5
DFW,MOB,58.0,3268.0,56.3448275862069
DFW,MRY,59.0,3132.0,53.08474576271186
DFW,MSN,8.0,434.0,54.25
DFW,MSO,21.0,1084.0,51.61904761904762
DFW,MYR,2.0,127.0,63.5
DFW,OKC,13.0,935.0,71.92307692307692
DFW,OMA,1.0,61.0,61.0
DFW,ORD,1.0,57.0,57.0
DFW,PIA,22.0,1246.0,56.63636363636363
DFW,PNS,20.0,1452.0,72.6
DFW,RAP,61.0,3669.0,60.14754098360656
DFW,SDF,33.0,2080.0,63.03030303030303
DFW,SGF,184.0,10154.0,55.18478260869565
DFW,SHV,61.0,3163.0,51.85245901639344
DFW,SJT,36.0,1799.0,49.97222222222222
DFW,STL,8.0,503.0,62.875
DFW,STS,9.0,475.0,52.77777777777778
DFW,TLH,52.0,3204.0,61.61538461538461
DFW,TRI,11.0,603.0,54.81818181818182
DFW,TUL,4.0,281.0,70.25
DFW,VPS,5.0,297.0,59.4
DFW,XNA,132.0,8379.0,63.47727272727273
DRO,DFW,52.0,2609.0,50.17307692307692
DSM,CID,1.0,50.0,50.0
DSM,DCA,75.0,3209.0,42.78666666666667
DSM,MHK,1.0,44.0,44.0
DSM,MIA,4.0,285.0,71.25
DSM,ORD,54.0,2908.0,53.851851851851855
DTW,AZO,1.0,41.0,41.0
DTW,ORD,47.0,1817.0,38.659574468085104
ECP,DFW,38.0,2344.0,61.68421052631579
ELP,AUS,78.0,3511.0,45.01282051282051
ELP,DFW,15.0,1064.0,70.93333333333334
EVV,DFW,39.0,1432.0,36.717948717948715
EWR,ORD,9.0,639.0,71.0
EYW,CLT,2.0,115.0,57.5
EYW,DCA,1.0,56.0,56.0
EYW,MIA,97.0,5704.0,58.8041237113402
EYW,ORD,9.0,558.0,62.0
FAR,DFW,41.0,2629.0,64.1219512195122
FAR,ORD,68.0,2888.0,42.470588235294116
FAR,PHX,22.0,1230.0,55.90909090909091
FAT,MRY,1.0,55.0,55.0
FAY,DFW,30.0,1545.0,51.5
FNT,ORD,58.0,2485.0,42.8448275862069
FSD,DFW,44.0,2957.0,67.20454545454545
FSD,ORD,70.0,2680.0,38.285714285714285
FSM,DFW,39.0,1747.0,44.794871794871796
FWA,ORD,9.0,358.0,39.77777777777778
GJT,DFW,69.0,3823.0,55.405797101449274
GJT,PHX,31.0,1591.0,51.32258064516129
GNV,DFW,30.0,1778.0,59.266666666666666
GNV,MIA,29.0,910.0,31.379310344827587
GPT,DFW,41.0,2345.0,57.19512195121951
GRB,ORD,54.0,2749.0,50.907407407407405
GRK,DFW,41.0,2096.0,51.1219512195122
