AIRCRAFT_TYPE,AIRPORT,INITIAL_COUNT
ERJ170,MYR,0
ERJ170,OKC,0
ERJ170,OMA,0
ERJ170,ORD,2
ERJ170,ORF,0
ERJ170,PHX,0
ERJ170,PIA,0
ERJ170,PIT,0
ERJ170,PNS,0
ERJ170,PSP,0
ERJ170,PVD,0
ERJ170,RAP,0
ERJ170,RDU,0
ERJ170,RIC,0
ERJ170,RNO,0
ERJ170,ROC,0
ERJ170,RST,0
ERJ170,SAF,0
ERJ170,SAV,0
ERJ170,SBA,0
ERJ170,SBP,0
ERJ170,SDF,0
ERJ170,SGF,0
ERJ170,SHV,0
ERJ170,SJT,0
ERJ170,SLC,0
ERJ170,SRQ,0
ERJ170,STL,0
ERJ170,STS,0
ERJ170,SYR,0
ERJ170,TLH,0
ERJ170,TPA,0
ERJ170,TRI,0
ERJ170,TUL,0
ERJ170,TUS,0
ERJ170,TVC,0
ERJ170,TYS,0
ERJ170,VPS,0
ERJ170,XNA,1
ERJ175,ABE,0
ERJ175,ABI,2
ERJ175,ABQ,0
ERJ175,AGS,0
ERJ175,ALB,0
ERJ175,ALO,0
ERJ175,ATL,0
ERJ175,ATW,1
ERJ175,AUS,4
ERJ175,AVL,0
ERJ175,AVP,0
ERJ175,AZO,0
ERJ175,BDL,0
ERJ175,BFL,0
ERJ175,BGR,1
ERJ175,BHM,1
ERJ175,BIL,0
ERJ175,BIS,1
ERJ175,BMI,0
ERJ175,BNA,0
ERJ175,BOS,1
ERJ175,BRO,0
ERJ175,BTR,1
ERJ175,BUF,1
ERJ175,BWI,0
ERJ175,BZN,0
ERJ175,CHA,1
ERJ175,CHS,1
ERJ175,CID,0
ERJ175,CLE,0
ERJ175,CLT,0
ERJ175,CMH,3
ERJ175,CMI,1
ERJ175,COS,0
ERJ175,COU,1
ERJ175,CRP,1
ERJ175,CVG,4
ERJ175,CWA,0
ERJ175,DAB,0
ERJ175,DAY,0
ERJ175,DCA,0
ERJ175,DFW,11
ERJ175,DRO,0
ERJ175,DSM,2
ERJ175,DTW,0
ERJ175,ECP,1
ERJ175,ELP,1
ERJ175,EVV,0
ERJ175,EWR,0
ERJ175,EYW,1
ERJ175,FAR,0
ERJ175,FAY,0
ERJ175,FNT,0
ERJ175,FSD,0
ERJ175,FSM,0
ERJ175,FWA,0
ERJ175,GJT,2
ERJ175,GNV,0
ERJ175,GPT,0
ERJ175,GRB,1
ERJ175,GRK,0
ERJ175,GRR,1
ERJ175,GSO,1
ERJ175,GSP,1
ERJ175,HHH,0
ERJ175,HOU,0
ERJ175,HPN,0
ERJ175,HRL,1
ERJ175,HSV,0
ERJ175,IAH,0
ERJ175,ICT,1
ERJ175,IND,2
ERJ175,JAN,1
ERJ175,JAX,1
ERJ175,LAN,0
ERJ175,LBB,2
ERJ175,LCH,0
ERJ175,LEX,2
ERJ175,LFT,1
ERJ175,LIT,4
ERJ175,LSE,0
ERJ175,MAF,0
ERJ175,MCI,0
ERJ175,MEM,1
ERJ175,MGM,0
ERJ175,MHK,1
ERJ175,MIA,3
ERJ175,MKE,1
ERJ175,MLI,0
ERJ175,MOB,1
ERJ175,MQT,0
ERJ175,MRY,1
ERJ175,MSN,1
ERJ175,MSO,0
ERJ175,MSP,0
ERJ175,MSY,1
ERJ175,MYR,0
ERJ175,OKC,0
ERJ175,OMA,1
ERJ175,ORD,3
ERJ175,ORF,1
ERJ175,PHX,0
ERJ175,PIA,0
ERJ175,PIT,0
ERJ175,PNS,1
ERJ175,PSP,0
ERJ175,PVD,0
ERJ175,RAP,1
ERJ175,RDU,2
ERJ175,RIC,0
ERJ175,RNO,0
ERJ175,ROC,1
ERJ175,RST,1
ERJ175,SAF,0
ERJ175,SAV,1
ERJ175,SBA,0
ERJ175,SBP,0
ERJ175,SDF,1
ERJ175,SGF,4
ERJ175,SHV,0
ERJ175,SJT,1
ERJ175,SLC,0
ERJ175,SRQ,0
ERJ175,STL,1
ERJ175,STS,0
ERJ175,SYR,1
ERJ175,TLH,2
ERJ175,TPA,0
ERJ175,TRI,0
ERJ175,TUL,0
ERJ175,TUS,0
ERJ175,TVC,0
ERJ175,TYS,1
ERJ175,VPS,0
ERJ175,XNA,6
