FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,ORIGIN_TIMEZONE,DEST_TIMEZONE,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,OVERNIGHT_CORRECTION,REFERENCE_ELAPSED_MIN,ELAPSED_DIFF_MIN,DEP_REFERENCE_15MIN,ARR_REFERENCE_15MIN,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,FAA_N_NUMBER,N-NUMBER,MFR MDL CODE,CODE,MFR,MODEL,AIRCRAFT_TYPE
2023-01-01,MQ,N241NN,3592,TLH,MIA,623,612.0,746,731.0,0.0,0.0,83.0,79.0,61.0,402.0,America/New_York,America/New_York,2023-01-01 05:23:00-06:00,2023-01-01 06:46:00-06:00,False,83.0,0.0,2023-01-01 05:15:00-06:00,2023-01-01 06:45:00-06:00,21,27,241NN,241NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N284JN,4035,CMH,DCA,625,624.0,750,738.0,0.0,0.0,85.0,74.0,54.0,323.0,America/New_York,America/New_York,2023-01-01 05:25:00-06:00,2023-01-01 06:50:00-06:00,False,85.0,0.0,2023-01-01 05:15:00-06:00,2023-01-01 06:45:00-06:00,21,27,284JN,284JN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N207AN,3670,CMH,MIA,627,624.0,915,903.0,0.0,0.0,168.0,159.0,139.0,990.0,America/New_York,America/New_York,2023-01-01 05:27:00-06:00,2023-01-01 08:15:00-06:00,False,168.0,0.0,2023-01-01 05:15:00-06:00,2023-01-01 08:15:00-06:00,21,33,207AN,207AN,3260410,3260410,EMBRAER,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N276NN,4053,BUF,ORD,628,635.0,730,753.0,0.0,0.0,122.0,138.0,111.0,474.0,America/New_York,America/Chicago,2023-01-01 05:28:00-06:00,2023-01-01 07:30:00-06:00,False,122.0,0.0,2023-01-01 05:15:00-06:00,2023-01-01 07:30:00-06:00,21,30,276NN,276NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N285NN,3772,BIS,DFW,630,632.0,923,918.0,0.0,0.0,173.0,166.0,132.0,977.0,America/Chicago,America/Chicago,2023-01-01 06:30:00-06:00,2023-01-01 09:23:00-06:00,False,173.0,0.0,2023-01-01 06:30:00-06:00,2023-01-01 09:15:00-06:00,26,37,285NN,285NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N689EC,3788,CWA,ORD,630,626.0,800,806.0,0.0,0.0,90.0,100.0,54.0,213.0,America/Chicago,America/Chicago,2023-01-01 06:30:00-06:00,2023-01-01 08:00:00-06:00,False,90.0,0.0,2023-01-01 06:30:00-06:00,2023-01-01 08:00:00-06:00,26,32,689EC,689EC,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N242NN,3870,TYS,MIA,630,621.0,847,837.0,0.0,0.0,137.0,136.0,107.0,724.0,America/New_York,America/New_York,2023-01-01 05:30:00-06:00,2023-01-01 07:47:00-06:00,False,137.0,0.0,2023-01-01 05:30:00-06:00,2023-01-01 07:45:00-06:00,22,31,242NN,242NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N902BC,3886,TYS,ORD,630,621.0,727,713.0,0.0,0.0,117.0,112.0,86.0,475.0,America/New_York,America/Chicago,2023-01-01 05:30:00-06:00,2023-01-01 07:27:00-06:00,False,117.0,0.0,2023-01-01 05:30:00-06:00,2023-01-01 07:15:00-06:00,22,29,902BC,902BC,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N270NN,3453,EYW,DCA,634,624.0,919,852.0,0.0,0.0,165.0,148.0,130.0,1023.0,America/New_York,America/New_York,2023-01-01 05:34:00-06:00,2023-01-01 08:19:00-06:00,False,165.0,0.0,2023-01-01 05:30:00-06:00,2023-01-01 08:15:00-06:00,22,33,270NN,270NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N277NN,3508,PNS,MIA,635,1059.0,913,1327.0,0.0,0.0,98.0,88.0,69.0,530.0,America/Chicago,America/New_York,2023-01-01 06:35:00-06:00,2023-01-01 08:13:00-06:00,False,98.0,0.0,2023-01-01 06:30:00-06:00,2023-01-01 08:00:00-06:00,26,32,277NN,277NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
