PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
36025.91,,2224.25,3904.95,,,109806.36,,629.58,,,7354.38,,2951.89,997.57,,163894.89,2573.68,32.84,7079.59,2186.40,,4341.94,95.34,,,,,16309.80,8888.07,25197.87,407.45,7755.86,3316.19,244.02,532.95,,,,,201349.23,,,,,,36.66,3.84,31567.34,1,6,888,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2023,1
38306.00,0.00,5077.00,9352.00,444.00,,69431.00,,1713.00,74.00,642.00,0.00,,4634.00,3131.00,10604.00,143408.00,3831.00,426.00,918.00,2533.00,,9451.00,3746.00,22031.00,,12656.00,,55592.00,40380.00,95972.00,,11966.00,12876.00,1039.00,346.00,,,,,265607.00,,,,,,14.19,5.80,24259.25,2,6,691,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2023,1
38496.31,,2054.45,4023.78,,,122454.14,,12195.88,,,7858.69,,3154.31,1526.65,,191764.20,3510.91,35.09,1502.78,224.17,,2879.63,-14.16,,,,,8138.43,9883.42,18021.85,5.28,6939.24,1601.05,2.93,2.31,,,,,218336.86,,,,,,51.99,4.50,37733.44,1,6,839,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
38528.00,0.00,6401.00,9954.00,75.00,,42658.00,,101.00,359.00,711.00,35967.00,,4047.00,1509.00,6027.00,146337.00,0.00,0.00,762.00,,,9868.00,4150.00,14470.00,,11388.00,,40638.00,29518.00,70156.00,,27889.00,18984.00,1810.00,902.00,,,,,266078.00,,,,,,15.33,8.93,15517.74,2,6,622,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2023,1
39054.50,0.00,1100.34,5021.22,0.00,0.00,112.15,0.00,12782.22,110.97,50.84,3785.11,0.00,3133.79,615.48,432.17,66198.79,6075.31,0.00,7711.73,9279.96,0.00,3695.15,924.82,0.00,0.00,0.00,0.00,27686.98,4872.49,32559.46,0.00,10038.46,3948.43,0.00,0.00,3124.78,,0.00,,115869.92,,,,,,36.51,11.58,22802.10,1,6,631,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,06700,D,3,3,2023,1
39087.00,0.00,1076.00,1770.00,3.00,0.00,94737.00,1.00,3039.00,2.00,130.00,6154.00,0.00,1204.00,0.00,66.00,147269.00,1461.00,556.00,2805.00,5400.00,0.00,4069.00,1681.00,0.00,0.00,0.00,0.00,15972.00,6269.00,22241.00,141.00,5273.00,2676.00,136.00,339.00,0.00,,678.00,0.00,178753.00,,,,,,15.75,1.45,32085.31,1,6,359,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3,3,2023,1
41370.41,0.00,3266.60,3352.84,0.00,0.00,126477.50,154.76,21061.36,0.00,248.36,10748.82,0.00,3416.97,2385.21,0.00,212482.81,8970.23,2232.97,10046.74,15125.02,0.00,6382.47,4055.12,0.00,0.00,0.00,0.00,46812.54,21712.76,68525.30,1102.71,12090.57,2276.68,1031.09,0.00,1680.31,,1356.40,,300545.88,,,,,,40.92,5.59,39596.09,1,6,614,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2023,1
42211.00,0.00,163.00,2881.00,0.00,0.00,94494.00,177.00,10299.00,0.00,290.00,11419.00,0.00,2314.00,3560.00,65.00,167872.00,195.00,9.00,1214.00,-562.00,0.00,39.00,38.00,0.00,0.00,0.00,0.00,933.00,219.00,1152.00,89.00,7478.00,4064.00,534.00,0.00,670.00,,0.00,,181860.00,,,,,,37.89,3.42,30123.00,1,6,839,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2023,1
42304.02,,1929.29,4105.70,,,115591.16,,31.31,,,8636.00,,3466.31,988.68,,177052.47,2030.45,25.71,12517.75,13.47,,5665.02,246.96,,,,,20499.35,7056.23,27555.57,1565.03,13067.43,1362.22,312.15,1735.46,,,,,222650.32,,,,,,24.18,2.59,36588.63,1,6,626,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1
43168.10,1123.73,1992.11,1647.77,0.00,0.00,144396.02,0.00,4498.76,0.00,1658.05,6792.35,0.00,3116.19,0.00,2802.56,211195.63,13584.52,0.00,263.00,410.28,0.00,10677.12,1074.88,0.00,0.00,0.00,0.00,26009.80,10304.53,36314.32,0.00,15886.37,10548.55,4849.79,0.00,0.00,,4869.80,,283664.46,,,,,,45.90,7.90,42230.10,1,6,694,20368,G4,Allegiant Air,G4,Allegiant Air,06035,D,3,3,2023,1
