PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
60659.71,0.00,8849.68,5760.26,4925.26,0.00,0.00,96.48,2441.10,349.11,802.74,7886.36,0.00,5915.53,1011.57,107.18,98803.46,19189.08,0.00,23125.18,1342.23,0.00,5528.11,201.41,0.00,0.00,0.00,0.00,49385.69,0.00,49385.69,1851.17,0.00,0.00,0.00,939.13,0.00,,0.00,0.00,150980.43,,,,,,51.25,10.83,35451.05,1,6,638,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,07024,D,2,2,2023,1
66447.53,,2957.39,6435.43,,,145728.48,,3798.91,,,13564.69,-84.91,5444.58,4844.70,,249136.79,6058.73,60.57,30877.83,25799.77,,11922.57,4165.76,,,,,78885.23,18143.44,97028.67,2381.10,9940.16,5467.40,878.99,11588.47,,,,,376421.58,,,,,,57.23,7.11,44360.07,1,6,694,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
68456.23,0.00,1454.96,11162.12,0.00,0.00,501.61,0.00,1412.15,0.00,0.00,10620.73,0.00,5874.93,0.00,467.41,99950.15,18851.26,0.00,16630.97,26470.58,0.00,12840.60,0.00,0.00,0.00,0.00,0.00,74793.41,7538.79,82332.19,0.00,26388.25,1035.21,1135.59,0.00,21.99,,2627.38,,213490.76,,,,,,91.96,15.26,58181.36,1,6,673,20452,YX,Republic Airline,YX,Republic Airline,06003,D,3,3,2023,1
69724.87,0.00,4399.46,26.20,57.95,0.00,179509.48,0.00,82601.08,0.00,252.02,10592.86,0.00,5899.13,5474.46,131.03,358668.54,6652.26,0.00,5313.61,3174.57,0.00,2368.70,0.00,0.00,0.00,0.00,0.00,17509.14,23250.40,40759.54,0.00,0.00,1.70,1326.55,0.00,4163.84,,0.00,,404920.17,,,,,,67.08,7.25,52129.57,1,6,722,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,3,3,2023,1
71017.66,,2662.51,6442.33,,,146785.04,,8639.44,,,14497.65,-76.45,5819.05,4789.05,,260576.27,6475.44,64.74,35116.14,23372.63,,11936.64,4353.80,,,,,81319.39,18802.90,100122.29,1852.16,12763.67,14019.34,1134.35,13948.22,,,,,404416.30,,,,,,61.01,7.06,44579.20,1,6,698,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
71710.00,0.00,3337.00,5487.00,9.00,0.00,177673.00,5.00,9423.00,6.00,402.00,19079.00,0.00,3732.00,0.00,204.00,291067.00,4530.00,1724.00,8697.00,16743.00,0.00,12614.00,5212.00,0.00,0.00,0.00,0.00,49520.00,19436.00,68956.00,439.00,16349.00,8297.00,421.00,1050.00,0.00,,2103.00,0.00,388682.00,,,,,,48.84,7.37,60173.75,1,6,622,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
73665.71,0.00,5820.74,5976.42,0.00,0.00,178733.33,274.00,37454.30,0.00,441.90,19122.23,0.00,6079.43,3383.68,0.00,330951.74,15948.56,3967.30,17880.48,26923.25,0.00,11328.95,7229.54,0.00,0.00,0.00,0.00,83278.08,38531.66,121809.74,1959.69,21515.21,4051.03,1834.48,0.00,2988.10,,2406.66,,487516.64,,,,,,61.02,5.66,56063.74,1,6,721,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1
77004.00,0.00,296.00,5285.00,1.00,0.00,204492.00,331.00,-649.00,0.00,324.00,20737.00,0.00,4221.00,7254.00,118.00,319414.00,10805.00,481.00,13303.00,22811.00,0.00,2186.00,2097.00,0.00,0.00,0.00,0.00,51681.00,12121.00,63802.00,272.00,19493.00,8369.00,1288.00,0.00,-34.00,,0.00,,412606.00,,,,,,68.87,6.60,63201.00,1,6,888,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2023,1
78860.00,0.00,21056.00,,0.00,,180993.00,,,,,,,,12696.00,18500.00,312105.00,,,643.00,531.00,,4373.00,2724.00,10078.00,,,,18349.00,13328.00,31677.00,,57130.00,10900.00,835.00,119.00,,,,,412766.00,,,,,,39.70,8.89,62115.11,2,6,626,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2023,1
83992.08,0.00,4123.15,6276.92,1885.44,0.00,255393.21,0.00,15365.66,17.11,289.94,32569.67,0.00,8473.47,8228.84,21434.63,438050.11,8984.47,0.00,35577.51,43890.37,0.00,4053.14,337.47,0.00,0.00,0.00,0.00,92842.96,15939.74,108782.70,535.12,35118.55,8357.45,1630.06,790.10,9173.45,,0.00,,602437.55,,,,,,79.38,8.52,75058.27,1,6,694,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2023,1
95356.87,0.00,4607.41,11566.49,0.00,0.00,39.19,0.00,131.47,321.11,253.96,11932.83,0.00,7949.57,5367.67,1244.46,138771.02,17712.53,0.00,6969.72,37656.01,0.00,10795.42,2209.19,0.00,0.00,0.00,0.00,75342.87,16361.22,91704.09,0.00,0.00,1536.21,3219.24,0.00,1021.89,,0.00,,236252.45,,,,,,119.07,21.12,72248.28,1,6,673,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,06700,D,3,3,2023,1
100120.07,,5792.97,10860.55,,,218261.16,,1749.68,,,20438.65,,8203.64,8757.06,,374183.78,9131.08,91.27,20637.58,4800.10,,18756.40,738.65,,,,,54155.07,26636.12,80791.20,980.33,21322.98,8986.06,585.50,1278.07,,,,,488127.92,,,,,,80.19,8.40,66832.41,1,6,888,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
118807.00,0.00,5794.00,9524.00,15.00,0.00,248893.00,8.00,16358.00,10.00,698.00,33119.00,0.00,6479.00,0.00,354.00,440059.00,7864.00,2993.00,15098.00,29065.00,0.00,21897.00,9047.00,0.00,0.00,0.00,0.00,85964.00,33739.00,119703.00,761.00,28381.00,14403.00,731.00,1822.00,0.00,,3651.00,0.00,609511.00,,,,,,84.78,11.45,84294.45,1,6,888,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
119302.55,,6286.20,12405.81,,,258788.77,,11445.80,,,24354.59,-519.39,9775.42,9737.96,,451577.70,10880.54,108.75,33772.08,4842.41,,8280.83,758.94,,,,,58643.57,29141.26,87784.83,865.10,13857.29,14158.09,360.12,782.44,,,1835.33,,571220.88,,,,,,99.08,10.85,78616.86,1,6,614,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
144231.00,0.00,3573.00,8593.00,0.00,0.00,284434.00,550.00,33992.00,0.00,1668.00,26501.00,0.00,11087.00,10976.00,0.00,525605.00,4732.00,199.00,5788.00,8480.00,0.00,2596.00,1523.00,0.00,0.00,0.00,0.00,23318.00,23068.00,46386.00,18.00,12349.00,24842.00,2111.00,1315.00,921.00,,-61.00,0.00,613486.00,,,,,,118.12,13.27,92470.30,1,6,838,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2023,1
145524.00,0.00,7009.00,11523.00,18.00,0.00,329603.00,10.00,19791.00,12.00,844.00,40070.00,0.00,7839.00,0.00,428.00,562671.00,9515.00,3621.00,18266.00,35165.00,0.00,26492.00,10946.00,0.00,0.00,0.00,0.00,104005.00,40820.00,144825.00,921.00,34338.00,17426.00,884.00,2205.00,0.00,,4417.00,0.00,767687.00,,,,,,102.58,11.10,111628.97,1,6,699,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
151217.38,0.00,11951.57,12271.87,0.00,0.00,492316.11,562.18,76871.32,0.00,907.01,39252.93,0.00,12480.57,9329.30,0.00,807160.23,32737.57,8142.77,36707.99,55271.24,0.00,23255.91,14851.96,0.00,0.00,0.00,0.00,170967.44,79052.97,250020.41,4021.78,44161.83,8315.04,3765.36,0.00,6132.68,,4936.80,,1128514.11,,,,,,155.96,21.28,154489.71,1,6,614,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1
154866.94,0.00,12234.95,12561.09,0.00,0.00,523159.51,576.91,78766.66,0.00,929.18,40210.95,0.00,12783.87,9897.01,0.00,845987.07,33542.83,8345.50,37596.06,56606.63,0.00,23838.24,15195.20,0.00,0.00,0.00,0.00,175124.45,81076.01,256200.47,4121.98,45238.89,8518.08,3857.46,0.00,6284.01,,5064.08,,1175272.03,,,,,,148.03,17.64,164040.68,1,6,699,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1
194575.00,0.00,4820.00,11591.00,0.00,0.00,443969.00,859.00,19724.00,0.00,2251.00,35751.00,0.00,14955.00,17133.00,0.00,745628.00,32395.00,672.00,39623.00,28781.00,0.00,17769.00,2055.00,0.00,0.00,0.00,0.00,121295.00,31119.00,152414.00,26.00,15300.00,33344.00,2876.00,0.00,1142.00,,0.00,0.00,950730.00,,,,,,159.35,18.25,144335.59,1,6,614,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2023,1
196200.94,,246.57,6885.01,0.00,,207.49,,0.00,,0.00,4158.55,,1506.94,,561.97,209767.46,848.30,,9444.13,,,3018.96,449.87,81.71,,,,13842.98,6541.17,20384.15,,69.49,0.00,798.80,0.00,0.00,,0.00,0.00,231019.90,,,,,,4.32,0.82,5924.20,2,6,626,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,3,3,2023,1
323557.00,0.00,8016.00,19275.00,0.00,0.00,705930.00,1366.00,12434.00,0.00,3743.00,59450.00,0.00,24869.00,27242.00,0.00,1185882.00,54298.00,583.00,66415.00,24895.00,0.00,29784.00,3417.00,0.00,0.00,0.00,0.00,179392.00,51747.00,231139.00,43.00,16235.00,104124.00,6942.00,9693.00,2246.00,,13962.00,0.00,1570266.00,,,,,,264.98,36.26,229499.40,1,6,612,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2023,1
