AIRCRAFT_TYPE,TOTAL_AIR_OPERATING_EXPENSES_1000_USD,TOTAL_AIR_OPERATING_EXPENSES_USD,MILES_FLOWN,COST_PER_MILE_USD
ERJ145,31091.76,31091760.0,2932203.0,10.603549617812956
ERJ170,13596.59,13596590.0,1601976.0,8.487386827268324
ERJ175,192728.34,192728340.0,23921987.0,8.05653560467197
